tconst	parentTconst	seasonNumber	episodeNumber
tt0084769	tt0806910	1	140
tt0162689	tt0806910	1	203
tt0394320	tt0096542	2	18
tt0465362	tt0388656	\N	\N
tt0504908	tt0285351	3	16
tt0508661	tt0285333	2	5
tt0514304	tt0078562	2	19
tt0516525	tt0111883	2	2
tt0517481	tt0111887	4	11
tt0523730	tt0103363	\N	\N
tt0530202	tt0319960	1	3
tt0533602	tt0426657	1	11
tt0539512	tt0069572	1	5
tt0548520	tt0138228	52	23
tt0551485	tt0247134	1	15
tt0555498	tt0058796	1	8769
tt0556591	tt0044259	9	25
tt0560762	tt0224861	2	24
tt0566921	tt0086702	1	13
tt0568966	tt0088512	1	2785
tt0569918	tt0376391	1	4
tt0570159	tt0379623	1	98
tt0580059	tt0217205	6	10
tt0586721	tt0056758	1	10157
tt0588408	tt0434655	1	1
tt0592324	tt0281447	4	11
tt0595246	tt0443303	1	4
tt0599452	tt0480610	1	10
tt0603557	tt0101120	8	27
tt0614824	tt0072519	9	5
tt0615344	tt0392974	1	7
tt0615837	tt0320037	4	39
tt0616373	tt0296361	\N	\N
tt0622170	tt0056768	2	6
tt0625878	tt0305056	\N	\N
tt0631504	tt0423688	1	1
tt0631931	tt0047750	4	10
tt0634380	tt0373558	\N	\N
tt0638352	tt0068098	3	13
tt0648569	tt0075537	1	10
tt0654277	tt0391668	1	23
tt0660225	tt0112095	1	3
tt0661108	tt0125634	7	2
tt0664364	tt0161179	3	3
tt0668105	tt0290367	1	24
tt0674494	tt0040049	1	40
tt0688184	tt0411022	2	10
tt0691418	tt0058844	3	11
tt0693895	tt0477534	\N	\N
tt0698358	tt0362372	2	28
tt0700249	tt0108925	2	7
tt0700650	tt0101198	3	18
tt0705732	tt0466420	\N	\N
tt0708994	tt0112178	5	9
tt0714856	tt0374257	2	9
tt0718170	tt0403813	1	33
tt0728547	tt0103569	10	84
tt0731010	tt0139803	28	29
tt0731309	tt0139803	34	37
tt0733881	tt0159187	3	13
tt0737607	tt0094574	\N	\N
tt0743886	tt0353113	2	3
tt0744537	tt0112220	2	16
tt0745256	tt0471048	1	8
tt0747141	tt0252096	1	9
tt0760851	tt0419344	3	1
tt0767705	tt0181260	35	17
tt0770311	tt0163461	2	2
tt0771394	tt0450907	2	16
tt0781949	tt0780421	\N	\N
tt0797713	tt0130422	1	8
tt0803457	tt0275822	5	26
tt0807661	tt0804410	\N	\N
tt0821733	tt0045447	2	7
tt0825957	tt0101177	10	8
tt0831170	tt0353070	1	29
tt0836847	tt0084987	22	78
tt0837966	tt0182576	5	2
tt0839174	tt0413583	1	3
tt0844271	tt0149541	\N	\N
tt0849861	tt0061240	3	25
tt0854560	tt0312172	5	9
tt0870224	tt0044230	6	35
tt0871501	tt0189296	16	11
tt0872840	tt0862576	1	14
tt0874440	tt0092322	\N	\N
tt0874744	tt0819710	1	23
tt0876696	tt0062562	6	13
tt0883098	tt0426701	\N	\N
tt0897623	tt0073993	1	8
tt0898745	tt0045435	3	20
tt0906469	tt0397812	\N	\N
tt0908773	tt0445135	11	4
tt0912486	tt0149541	\N	\N
tt0923237	tt0095331	1	10
tt0933419	tt0041007	8	30
tt0937177	tt0166064	18	10
tt0937284	tt32873001	1	8
tt0941219	tt0138228	20	43
tt0941680	tt0816386	1	17
tt0943002	tt0480302	1	8
tt0946817	tt0050072	9	6
tt0949206	tt0163503	10	3
tt0953212	tt0159904	4	16
tt0955564	tt0390725	2	7
tt0965837	tt0138228	29	20
tt0966767	tt0455061	5	1
tt0968510	tt0773264	1	3
tt0969097	tt0821927	1	93
tt0970801	tt0968720	4	5
tt0987149	tt0159884	3	4
tt10003342	tt8927812	1	3
tt1000348	tt0445116	1	2
tt10010398	tt0913001	\N	\N
tt1001109	tt0063951	35	4
tt10027808	tt0236919	1	154
tt10035704	tt6826244	1	94
tt10054700	tt1808713	\N	\N
tt10056868	tt2247207	7	66
tt10057616	tt1708446	1	225
tt10057664	tt1889878	1	264
tt1006059	tt0994561	1	10
tt10069402	tt0887983	\N	\N
tt10069600	tt1491938	1	362
tt1007788	tt0305109	\N	\N
tt10098254	tt0355143	\N	\N
tt1010211	tt0484951	4	4
tt10108866	tt3911870	1	275
tt10122434	tt1409723	1	2
tt10128340	tt9832002	\N	\N
tt10129546	tt3911870	1	162
tt1014332	tt1011499	1	5
tt1015494	tt0424586	\N	\N
tt1016364	tt0424586	\N	\N
tt10184258	tt7834636	3	16
tt10187082	tt7890304	2	16
tt10187398	tt5097258	16	5
tt10207118	tt9869336	1	7
tt10207838	tt10204216	1	3
tt10229378	tt3027156	12	1
tt10231064	tt7955212	1	67
tt10232744	tt0303561	\N	\N
tt10244298	tt1144839	\N	\N
tt10265314	tt1144839	\N	\N
tt10271844	tt0063967	1	342
tt10287030	tt5732540	4	25
tt10294590	tt10200072	\N	\N
tt10294596	tt1833517	8	13
tt10295354	tt0053536	\N	\N
tt10299732	tt10299506	1	1
tt10306496	tt10268080	1	10
tt10320454	tt1296525	2	106
tt10329458	tt9359492	1	6
tt10331548	tt7112704	1	47
tt10342744	tt10250712	1	14
tt1035714	tt0189307	1	149
tt10360940	tt1507820	1	5
tt10364796	tt10014412	1	138
tt10365250	tt0482346	13	573
tt10367760	tt7401524	1	87
tt10367918	tt0088543	2	9
tt10375652	tt0094481	1	7093
tt1038279	tt0890935	1	4
tt10396564	tt9249026	1	83
tt10396810	tt7349730	2	161
tt10400096	tt6518878	10	90
tt10406310	tt10014412	1	1490
tt10408554	tt9815566	1	49
tt10421824	tt10298328	1	1
tt10429562	tt0439344	5	157
tt10448748	tt10448672	1	4
tt10480702	tt0065346	1	328
tt10505186	tt10483250	1	8
tt10534384	tt9642838	1	5
tt10574926	tt0273380	4	16
tt1058243	tt0162076	1	3602
tt1060083	tt0375369	\N	\N
tt10606982	tt10259620	2	3
tt10608606	tt8611060	\N	\N
tt1061270	tt0493329	4	7
tt1062477	tt0092325	1	3456
tt10638864	tt3230032	\N	\N
tt10647548	tt0045446	1	95
tt10647622	tt0045446	1	199
tt10650304	tt6118160	9	14
tt10656886	tt10626550	1	478
tt10665560	tt5483306	1	6
tt10682492	tt0446224	1	159
tt10684194	tt8998028	1	522
tt1069872	tt0072559	1	80
tt10699766	tt8998028	1	2085
tt10706466	tt10162946	1	337
tt10710762	tt8998028	1	948
tt10723032	tt6420682	1	326
tt1072802	tt0441917	3	205
tt10735992	tt0303443	\N	\N
tt10736236	tt10735938	1	2
tt10741306	tt10591946	1	10
tt10747368	tt2780380	7	27
tt10747626	tt8993360	1	2950
tt10761518	tt0143055	32	45
tt10769744	tt8993360	1	1880
tt10786656	tt10471388	1	8
tt10824156	tt10613514	1	7
tt10833718	tt0338670	\N	\N
tt1083499	tt0065272	1	9643
tt10847396	tt5292408	1	355
tt10852262	tt10720724	1	2
tt10866996	tt5292408	1	138
tt1087067	tt1039793	1	31
tt10870834	tt0444744	1	34
tt1091975	tt0391687	5	63
tt10920298	tt10283742	3	28
tt10929386	tt10721080	2	3
tt10940178	tt10940112	1	8
tt10949996	tt8009586	1	2
tt1096406	tt0375433	1	179
tt1097319	tt0778567	1	5
tt10986292	tt10950840	1	4
tt10994320	tt5454638	\N	\N
tt1099508	tt0252769	2	25
tt10995396	tt5454638	\N	\N
tt11002072	tt4969662	1	1
tt11006180	tt0446224	1	1935
tt11011898	tt0382449	\N	\N
tt11012576	tt1151168	\N	\N
tt11028600	tt0836500	\N	\N
tt11039986	tt10886554	1	1647
tt11049640	tt10340916	1	490
tt11056202	tt2784810	7	218
tt1105917	tt1021031	9	34
tt11065702	tt11064762	1	2
tt11080820	tt0429434	26	1
tt11081376	tt8240706	1	15
tt11082812	tt10162658	1	1086
tt11090936	tt11090886	1	15
tt11101386	tt0396384	\N	\N
tt11118778	tt10339970	1	192
tt11123250	tt10814438	1	4
tt11126126	tt8929630	\N	\N
tt1113330	tt0997196	1	57
tt1113456	tt0055686	2	25
tt11173716	tt11157384	3	30
tt11176704	tt11144104	1	2
tt11179594	tt11120196	1	1657
tt11180012	tt11177428	1	3
tt11189812	tt10285314	1	46
tt11193744	tt0082201	1	222
tt11197442	tt0041055	\N	\N
tt11198362	tt8765092	1	3
tt11206758	tt6128606	4	44
tt1121354	tt0294081	\N	\N
tt11237110	tt10162964	1	373
tt11237878	tt8300816	1	1
tt11241316	tt9668600	1	8
tt11244276	tt6267820	1	118
tt11250080	tt6267820	1	140
tt11253256	tt2117503	4	45
tt11254036	tt11162262	1	36
tt11264890	tt0131689	1	1194
tt11274088	tt8738020	5	8
tt11290896	tt11225230	1	5
tt11295348	tt0343316	\N	\N
tt1131190	tt0197155	4	6
tt11324964	tt1542802	1	117
tt11332962	tt11331736	5	1
tt11334976	tt11192392	1	187
tt11339044	tt11299474	2	530
tt11339092	tt7001202	\N	\N
tt11340514	tt1542802	1	372
tt11342298	tt5454638	\N	\N
tt11354692	tt4265944	4	29
tt11360036	tt11299474	2	401
tt11364848	tt0401922	4	816
tt11378474	tt10692326	8	244
tt11398380	tt11050800	1	7
tt11413464	tt0128176	1	3361
tt11426628	tt2070564	\N	\N
tt11436156	tt6650508	1	582
tt11441240	tt11304754	1	158
tt11460014	tt10692326	3	250
tt11467946	tt10196134	1	282
tt11470616	tt11274898	1	441
tt11472098	tt10196106	1	96
tt11472188	tt9916216	1	295
tt11472878	tt7279136	\N	\N
tt11490020	tt1124352	1	167
tt1149091	tt0449749	\N	\N
tt11501478	tt11239552	1	14
tt11508120	tt0289804	\N	\N
tt11508846	tt11457016	1	270
tt1150983	tt0479842	3	9
tt11519850	tt4270492	5	8
tt11525098	tt5575896	1	2
tt11525980	tt3683038	13	11
tt11526796	tt5586510	1	148
tt1152990	tt0135105	1	4
tt11548306	tt7652094	\N	\N
tt11552598	tt6906970	\N	\N
tt11555462	tt11501568	1	275
tt11560850	tt9336476	3	7
tt11566554	tt11027962	1	148
tt11572146	tt10157638	1	423
tt11576060	tt11510700	\N	\N
tt11578596	tt10371028	1	61
tt11578878	tt11349022	1	54
tt11605876	tt10495936	1	158
tt1160790	tt1441589	1	2
tt11613180	tt1783206	1	21
tt11614968	tt0409629	\N	\N
tt11618692	tt10303154	2	104
tt11621832	tt0315004	\N	\N
tt11634840	tt11183204	\N	\N
tt11644630	tt0165020	2	11
tt11648918	tt11608094	1	142
tt11653452	tt10071522	1	109
tt11659956	tt10876286	1	131
tt11660038	tt6174204	6	14
tt1166530	tt0196270	1	33
tt11667932	tt11665842	1	4
tt11668498	tt8350136	\N	\N
tt11675654	tt4690816	6	8
tt1170535	tt0312103	3	24
tt11708436	tt1442070	11	96
tt11709194	tt2364381	\N	\N
tt11717268	tt11608020	1	1000
tt11721372	tt7690392	1	164
tt11727398	tt7690392	1	182
tt11772674	tt3087620	1	63
tt1178039	tt0118375	12	11
tt11782556	tt4739444	5	43
tt1179495	tt0052446	1	16
tt1179617	tt0805418	4	18
tt11823262	tt11822610	\N	\N
tt11825354	tt4476002	1	676
tt11826870	tt2053650	1	946
tt11827084	tt7956374	2	24
tt11844944	tt11839938	1	8
tt11857312	tt10162506	1	205
tt11871820	tt11865560	4	20
tt1187528	tt0487821	1	2
tt11888034	tt4476002	1	2740
tt1188816	tt0247880	\N	\N
tt11888518	tt10540162	1	1091
tt1191303	tt0086689	9	66
tt1192213	tt0266134	\N	\N
tt11925568	tt10333686	2	5
tt11931838	tt3201906	1	895
tt11934594	tt0426769	6	25
tt11941168	tt11478246	1	6
tt11949328	tt11753318	1	1227
tt11960866	tt11784978	1	877
tt11972226	tt6611016	1	706
tt11975178	tt11780858	2	14
tt11977734	tt7978240	1	1565
tt11987234	tt11986720	1	5
tt11994384	tt6611016	1	571
tt11997308	tt11963320	1	5
tt12001120	tt9291280	\N	\N
tt12002364	tt2048994	1	12
tt12019390	tt0319931	18	9
tt12021124	tt7657494	4	47
tt12023782	tt1086193	1	2791
tt12042248	tt12038752	1	15
tt12045672	tt10340592	1	723
tt12065968	tt12060176	1	6
tt12071350	tt1147366	\N	\N
tt12079006	tt3785400	9	5
tt12090180	tt10375726	1	76
tt12123662	tt12092480	1	1005
tt1213387	tt0044265	1	15392
tt12140170	tt12118298	1	49
tt12142182	tt10306280	25	64
tt12148650	tt12118298	3	13
tt12157626	tt1747551	11	5
tt12182702	tt12176598	1	12
tt12204454	tt0197161	4	25
tt12214076	tt0313091	7	179
tt12217524	tt0441074	\N	\N
tt12224100	tt4469212	1	637
tt12253982	tt0313091	12	147
tt1227062	tt1201017	1	36
tt12273204	tt2403634	2	27
tt12275370	tt9168904	1	28
tt12318200	tt0759364	15	2
tt1231895	tt0068120	2	190
tt12320940	tt0178146	2	24
tt12328064	tt0353044	1	2172
tt1233178	tt1128052	1	11
tt12377908	tt0115227	7	45
tt12381458	tt12193120	1	25
tt12390994	tt0115227	16	27
tt12407996	tt0289832	6	32
tt12416056	tt9242538	5	3
tt12418516	tt0283172	28	23
tt12419956	tt11289784	1	190
tt12430596	tt0115227	8	231
tt12453274	tt0236914	3	24
tt12454782	tt0283172	56	15
tt12460318	tt0103487	1	3139
tt12482236	tt12222722	1	11
tt12486618	tt0048860	1	4522
tt12504984	tt1585955	\N	\N
tt12507342	tt0046641	1	1224
tt12510648	tt0254031	1	246
tt12519766	tt12223680	1	116
tt12530760	tt12502614	1	2
tt12536140	tt12306668	1	60
tt12537772	tt0188328	1	14
tt12543346	tt12536456	1	30
tt12569794	tt0048860	1	4783
tt12575580	tt10183662	1	153
tt12576696	tt5453080	3	126
tt12577160	tt1281308	1	1
tt12583694	tt0282291	19	47
tt12599636	tt12462748	10	12
tt12601448	tt12589502	1	11
tt12612718	tt7989888	\N	\N
tt12623204	tt0318901	1	24
tt1262717	tt0069602	27	10
tt12627962	tt12153588	1	317
tt12640130	tt12158742	1	163
tt12655620	tt0369117	190	1
tt12662200	tt8064302	3	1
tt12667744	tt0412192	1	19
tt12738918	tt0346307	8	82
tt12746972	tt4539262	7	224
tt12757246	tt6341050	\N	\N
tt12765998	tt12306946	1	56
tt12766194	tt0175383	1	9310
tt12767354	tt12762464	\N	\N
tt12777382	tt12404034	1	154
tt12789634	tt12784758	\N	\N
tt12795910	tt12106682	1	117
tt12796590	tt10305440	1	417
tt12802562	tt12142084	\N	\N
tt12809096	tt12269610	1	41
tt1282741	tt0170930	19	12
tt12827784	tt0043214	1	2789
tt12857780	tt12306280	1	37
tt12860592	tt0416426	\N	\N
tt12896256	tt12269542	1	493
tt12916082	tt12824922	1	1
tt12954518	tt1807575	2	14
tt12957074	tt1111259	1	23
tt12962632	tt0069658	1	865
tt12966250	tt12945884	1	30
tt12975500	tt0175383	1	32
tt1299128	tt0092419	1	5
tt12992742	tt12892750	1	21
tt12995204	tt12229096	1	38
tt13012798	tt12653648	\N	\N
tt13019634	tt0182607	22	2
tt13020624	tt12229190	2	58
tt13029340	tt13012952	\N	\N
tt13041332	tt12223194	1	142
tt13042414	tt12229190	1	1135
tt13047526	tt12228886	1	98
tt13088868	tt12368964	1	412
tt1310463	tt1239474	1	20
tt13127992	tt12229564	2	109
tt13132534	tt12637978	1	120
tt13132834	tt12229564	1	144
tt1315117	tt0388619	\N	\N
tt13157922	tt12263940	1	491
tt13159968	tt0138228	78	72
tt13164054	tt12263940	1	1490
tt13165212	tt0229890	6	24
tt13177270	tt0120986	9	142
tt13183572	tt0437758	3	163
tt1318506	tt0088554	1	1175
tt13194640	tt13186774	1	7
tt13212492	tt7997010	1	350
tt1321646	tt0055679	1	28
tt13219084	tt0386988	\N	\N
tt13220640	tt0120992	3	232
tt13230760	tt4469214	9	23
tt13243362	tt13210764	1	8
tt13262628	tt1461349	\N	\N
tt13285428	tt0106113	9	55
tt1329077	tt1294092	1	46
tt1329893	tt1112587	1	39
tt1330452	tt0068120	7	2
tt13345302	tt2070564	\N	\N
tt1335954	tt1294130	1	55
tt13363312	tt0965332	3	4
tt13373270	tt13296670	2	4
tt13376318	tt13376258	1	1
tt13386662	tt11289784	1	352
tt13397810	tt13397576	\N	\N
tt13429214	tt13429038	1	6
tt13436942	tt0270116	13	94
tt13441322	tt0270116	12	111
tt13460498	tt1094354	1	1092
tt1346433	tt0053494	1	2679
tt13472210	tt9077350	2	25
tt13472494	tt0088550	1	642
tt13474948	tt0088550	1	852
tt1348722	tt0396352	\N	\N
tt1348733	tt0090492	1	25
tt13502464	tt0486535	\N	\N
tt13520530	tt0088550	1	5054
tt13529194	tt13529176	1	3
tt13542688	tt0088550	1	2933
tt1355033	tt1342356	\N	\N
tt13558608	tt0402644	1	272
tt13585856	tt0088598	1	80
tt13592560	tt0424691	\N	\N
tt13597706	tt0044270	10	96
tt13600336	tt13114020	1	88
tt13601430	tt12741934	\N	\N
tt13602630	tt0159877	1	696
tt13605108	tt2059823	\N	\N
tt13605742	tt12975108	\N	\N
tt1361171	tt1191980	2	12
tt13648226	tt13528572	\N	\N
tt13654262	tt13652646	1	5
tt1365706	tt0111920	\N	\N
tt1365937	tt1364369	1	1
tt13666116	tt13654888	1	57
tt13667788	tt12572134	1	90
tt1367555	tt0051267	4	6
tt13677184	tt13491806	1	2
tt13679672	tt0306364	1	659
tt13730708	tt0421096	1	115
tt13741972	tt0463824	6	173
tt13750396	tt0452919	1	574
tt13781144	tt0445873	2	5
tt13794074	tt0118435	1	1561
tt1380462	tt1294889	1	1
tt13811172	tt0408407	\N	\N
tt13819318	tt13727068	6	1
tt13828762	tt4979804	\N	\N
tt13851354	tt0270147	1	282
tt13866272	tt13376478	3	12
tt13892122	tt13675992	1	181
tt13908440	tt2235082	1	926
tt13933568	tt12546614	1	147
tt13934804	tt3725872	1	335
tt13938854	tt13274172	1	143
tt13946032	tt4973750	1	334
tt13949248	tt12839508	1	10
tt13960772	tt4741930	1	318
tt13971934	tt7112704	1	3319
tt13975530	tt3725872	1	227
tt14000506	tt3117654	1	581
tt14008714	tt4369130	1	14
tt14017196	tt0429346	\N	\N
tt14041622	tt0108897	3	231
tt14071720	tt8239172	1	3
tt14074064	tt14064080	1	3
tt14081292	tt14078262	1	8
tt14096532	tt9824886	\N	\N
tt14117424	tt2172496	1	2
tt14132450	tt9305592	1	212
tt14132636	tt12531904	1	376
tt14139080	tt6128300	4	4
tt14139120	tt0307837	1	680
tt14141836	tt1084587	14	91
tt1415454	tt0454730	\N	\N
tt14180908	tt6108056	\N	\N
tt14181386	tt0135733	38	23
tt14197648	tt2364308	1	2324
tt14204622	tt10340822	1	409
tt1420609	tt0294020	\N	\N
tt14227734	tt6402058	1	7
tt14234192	tt10305452	1	723
tt14244806	tt7178298	8	19
tt1425330	tt0331756	2	4
tt14280972	tt7997010	1	349
tt14301388	tt14162494	\N	\N
tt14330038	tt3622652	1	23
tt14331240	tt3247300	3	118
tt14339490	tt12546650	1	27
tt14339894	tt14022938	2	13
tt14358744	tt12546564	1	1263
tt14360894	tt0302151	\N	\N
tt14367394	tt12531840	1	345
tt14378688	tt14331396	1	193
tt14396574	tt0406394	\N	\N
tt14397412	tt13398890	2	35
tt1443693	tt1343645	1	10
tt14455998	tt13545840	1	172
tt14474474	tt0168275	\N	\N
tt14475282	tt13357878	\N	\N
tt14477998	tt5240892	3	6
tt14483046	tt9068332	2	24
tt1448400	tt0412250	\N	\N
tt14510098	tt5433062	2	2
tt14521094	tt14293010	\N	\N
tt14554758	tt12546734	1	278
tt14570766	tt14352500	\N	\N
tt14571260	tt1415000	\N	\N
tt14576282	tt14576098	1	6
tt14590272	tt0291654	1	4
tt14594170	tt14375356	1	551
tt14631314	tt0220735	11	4
tt14678666	tt13627102	1	112
tt14682726	tt14362274	1	14
tt1468455	tt0053494	1	7108
tt14702070	tt5193522	\N	\N
tt14711192	tt14476220	1	632
tt14712394	tt10267424	1	136
tt14718364	tt12234310	1	163
tt14731386	tt5193522	\N	\N
tt14743792	tt14681184	1	144
tt14752846	tt13315772	1	10
tt14776850	tt14641356	1	98
tt14784774	tt6531122	2	6
tt14787406	tt14747220	1	8
tt14795478	tt14164244	1	29
tt1479924	tt0320037	3	37
tt14810848	tt8055128	\N	\N
tt14816360	tt14641356	1	443
tt14835258	tt14732316	1	420
tt14842596	tt12404114	1	89
tt1484529	tt1210541	\N	\N
tt14848496	tt1281973	6	50
tt14858212	tt0236924	1	145
tt1486888	tt0905574	3	15
tt14874604	tt14752302	1	575
tt1488928	tt0372086	4	12
tt14889616	tt5623948	1	746
tt14891502	tt6538034	3	1
tt14895530	tt6428704	1	34
tt14906726	tt14811358	2	8
tt14909498	tt0267214	3	9
tt14910462	tt6558936	1	364
tt1491741	tt1488217	1	2
tt14923736	tt1634528	1	13
tt14925334	tt14770730	1	871
tt14925482	tt0270925	1	389
tt14930528	tt6558936	1	1645
tt1493689	tt0068120	10	192
tt14942510	tt5775024	2	6
tt1494355	tt0068120	11	194
tt14957906	tt14831206	1	280
tt14965656	tt12822866	\N	\N
tt14986704	tt0403814	\N	\N
tt14986792	tt14981326	\N	\N
tt14990762	tt5915452	5	11
tt15008278	tt0377281	1	2614
tt15019442	tt0377281	1	2884
tt15019704	tt0377281	1	1681
tt1502049	tt1492009	1	13
tt15023780	tt13206602	1	8
tt15033974	tt12548882	2	20
tt15037768	tt6558936	1	2942
tt15044850	tt0377281	1	2984
tt15063488	tt4207940	1	673
tt15066684	tt13871784	\N	\N
tt15078894	tt6341912	\N	\N
tt15086060	tt14527610	1	5
tt15088058	tt4207940	1	1154
tt1509644	tt0805797	5	1
tt15098828	tt5644718	1	253
tt15101378	tt15100076	2	1
tt15106438	tt0194599	1	5018
tt15111680	tt5973002	\N	\N
tt15112514	tt10348288	3	23
tt15119530	tt15092600	1	10
tt1511988	tt0063890	1	25
tt15138452	tt14845932	19	76
tt15146380	tt12423408	4	50
tt15154580	tt5787544	\N	\N
tt15154614	tt15067952	\N	\N
tt15162292	tt0211178	1	75
tt15167044	tt8836830	1	1008
tt15168378	tt15127626	1	14
tt15169418	tt14187980	7	30
tt15179188	tt6602416	1	457
tt1517964	tt1515984	1	54
tt1518532	tt0350448	7	29
tt15187776	tt0220895	2	2
tt1521376	tt0366050	\N	\N
tt1521970	tt0144044	1	6
tt1522650	tt0335749	\N	\N
tt15236496	tt15161350	4	254
tt15242610	tt1691234	1	74
tt15248646	tt8998028	1	3754
tt15257890	tt15245768	1	1
tt15265056	tt8682874	3	131
tt15283510	tt15119410	1	2047
tt15295786	tt0434661	1	4
tt15305578	tt9760930	2	24
tt15316688	tt8339400	2	136
tt15317718	tt15119410	1	2909
tt15323222	tt12618452	1	1570
tt15325712	tt15175236	1	4
tt15330874	tt9540726	\N	\N
